open_nutrition_id,name_pl,alternate_names_pl
fd_3I1M6x003ceR,Batonik morelowy,"[""baton z morelami"", ""batonik owocowy morelowy"", ""baton zbożowy morelowy""]"
fd_3InDUH0waLuf,Kawa Gevalia,"[""gevalia"", ""kawa szwedzka"", ""kawa parzona gevalia""]"
fd_3JCwXQiGg68m,Galette z łososiem i porem,"[""naleśnik gryczany z łososiem"", ""galette z łososiem"", ""krepa z łososiem""]"
fd_3K8eePjB06xI,"Borówki amerykańskie, mrożone","[""mrożone borówki"", ""jagody mrożone"", ""borówka mrożona""]"
fd_3KXhdKPtNsvX,Fish and chips,"[""ryba z frytkami"", ""smażona ryba z frytkami"", ""ryba w cieście z frytkami""]"
fd_3L7FYHQU5Q5x,"Ozór wołowy, surowy","[""ozorek wołowy"", ""język wołowy"", ""ozór z wołowiny""]"
fd_3LF3ysbnugmh,Krewetki w tempurze,"[""ebi tempura"", ""tempura z krewetek"", ""smażone krewetki""]"
fd_3LSRKYK8VPkY,Gelato amaretto,"[""lody amaretto"", ""gelato migdałowe"", ""lody migdałowe""]"
fd_3LYVkMInZF16,Mofongo z kurczakiem,"[""mofongo"", ""mofongo con pollo"", ""tłuczone platany z kurczakiem""]"
fd_3LbWD3FsHwYp,Kurczak marsala,"[""kurczak w sosie marsala"", ""pierś w sosie z winem marsala""]"
fd_3M7jl99cLujS,"Filet z kulbaka, gotowany","[""kulbak"", ""ryba kulbak"", ""filet rybny gotowany""]"
fd_3NaRR4bRG7JH,Brownie,"[""ciasto brownie"", ""czekoladowe brownie"", ""brownie czekoladowe""]"
fd_3OJha3DpoIY5,Jogurt miodowy o niskiej zawartości tłuszczu,"[""jogurt z miodem"", ""jogurt miodowy light"", ""jogurt o smaku miodowym""]"
fd_3Pacr0XeExA7,Łopatka wieprzowa wędzona,"[""wędzona łopatka"", ""łopatka wędzona wieprzowa"", ""wędzonka z łopatki""]"
fd_3Pk31yGPZdsB,Biltong,"[""suszona wołowina"", ""suszone mięso południowoafrykańskie"", ""suszona wołowina biltong""]"
fd_3Q0TIwubLCCq,Sałatka makaronowa Cezar,"[""sałatka cezar z makaronem"", ""makaron w sosie cezar"", ""sałatka z makaronem i sosem cezar""]"
fd_3QEIi9fhGEMK,Kanafeh,"[""kunafa"", ""knafeh"", ""deser z ciasta kataifi z serem""]"
fd_3R8OomFYK5iM,"Pieczeń z zrazowej, surowa","[""zrazowa"", ""wołowina na pieczeń"", ""udziec wołowy""]"
fd_3RxEzVB7LFvn,Jogurt mrożony o obniżonej zawartości tłuszczu,"[""mrożony jogurt light"", ""jogurt mrożony chudy"", ""lody jogurtowe light""]"
fd_3RxPihK6XlQ2,Ananas suszony,"[""suszone ananasy"", ""kawałki suszonego ananasa"", ""ananas kandyzowany suszony""]"
fd_3STDAKxQKYNw,Sznycel wegetariański,"[""kotlet wegetariański panierowany"", ""sznycel roślinny"", ""wegański sznycel""]"
fd_3T06FdjvjXe5,Mieszanka na ciasto biszkoptowe,"[""proszek na ciasto"", ""gotowa mieszanka na ciasto"", ""ciasto w proszku""]"
fd_3TU0sv2s6bN5,Kanapka z szarpaną wieprzowiną,"[""burger z szarpaną wieprzowiną""]"
fd_3U17zPqEzBHo,Cherry Coke,"[""cola wiśniowa"", ""coca-cola wiśniowa"", ""napój cola z wiśnią""]"
fd_3UnApsOEQG38,Olej z nasion chia,"[""olej chia"", ""olej z szałwii hiszpańskiej""]"
fd_3V4zKlxI8Uq1,Ciasto marchewkowe,"[""marchewkowiec"", ""tort marchewkowy"", ""ciasto z marchewki""]"
fd_3WR5mfoI4JUl,Paluszki precelkowe pikantne,"[""precelki pikantne"", ""paluszki ostre"", ""przekąska precelkowa""]"
fd_3X4K3gg7PjRB,Pomarańcza,"[""pomarańcze"", ""świeża pomarańcza"", ""owoc cytrusowy""]"
fd_3XIyIp1lWGjS,Za'atar,"[""zatar"", ""przyprawa za'atar"", ""mieszanka bliskowschodnia""]"
fd_3XgsfurMUnxl,Łosoś wędzony,"[""wędzony łosoś"", ""łosoś norweski wędzony"", ""łosoś""]"
fd_3YEMPUB8fcrH,Pudding mango w stylu hongkońskim,"[""pudding z mango"", ""deser z mango"", ""mango pudding""]"
fd_3YI0t2IPPqx4,Krewetki koktajlowe z puszki,"[""krewetki z puszki"", ""krewetki koktajlowe"", ""małe krewetki konserwowe""]"
fd_3YNN5d91rVBo,"Kulbin, cały, surowy","[""kulbin surowy"", ""ryba cała surowa"", ""kulbiny""]"
fd_3ZLkyOLYOsVo,Pączek z Nutellą,"[""pączek nutella"", ""donut z nutellą"", ""donut czekoladowo-orzechowy""]"
fd_3ZpkT9L0rxN7,Ryż jollof z rybą,"[""jollof"", ""ryż jollof"", ""ryż w sosie pomidorowym z rybą""]"
fd_3Ztp2xElcx2S,Skrzydełka z parmezanem i czosnkiem,"[""skrzydełka czosnkowe"", ""skrzydełka z serem i czosnkiem"", ""skrzydła kurczaka czosnkowe""]"
fd_3aHOSxJMIabu,Taco z ozorem,"[""taco de lengua"", ""taco z ozorem wołowym"", ""tacos z ozorem""]"
fd_3aHctPNX2PvW,Sos pieprzowy do steków,"[""sos pieprzowy"", ""sos z zielonym pieprzem"", ""sos do steków""]"
fd_3acoliW9WKMp,Sałatka z owoców tropikalnych,"[""sałatka owocowa tropikalna"", ""owoce tropikalne mieszane"", ""mix owoców egzotycznych""]"
fd_3aqmZLSX0DRk,Morszczuk panierowany,"[""filety z morszczuka panierowane"", ""ryba panierowana morszczuk"", ""morszczuk w panierce""]"
fd_3bAE8Gix6hgN,Mąka z nerkowców,"[""zmielone nerkowce"", ""mączka z nerkowców"", ""nerkowce mielone""]"
fd_3bDsxyC3Fqvl,Börek,"[""burek"", ""turecki placek z ciasta filo""]"
fd_3bYLUxc0Doq7,Grillowany stek z antrykotu,"[""stek ribeye"", ""antrykot z grilla"", ""rostbef ribeye""]"
fd_3bosZzHwrZsW,Sashimi z łososia,"[""sashimi łosoś"", ""surowy łosoś"", ""sake sashimi""]"
fd_3cCoU1SAfFfZ,Fondue z piersi kaczki,"[""fondue mięsne"", ""fondue z kaczką"", ""fondue bourguignonne""]"
fd_3cKUCUQ14PDN,Roti canai,"[""roti prata"", ""malezyjski placek"", ""placek roti""]"
fd_3cO2ojKydTDU,"Kefir waniliowy, słodzony","[""kefir o smaku waniliowym"", ""kefir wanilia"", ""napój kefirowy waniliowy""]"
fd_3cQRm6Z1dUAV,Makaron dan dan,"[""dan dan mian"", ""syczuański makaron"", ""kluski dan dan""]"
fd_3e3rjMvqmkzp,Zurbian z kurczakiem,"[""zurbiyan"", ""jemeński ryż z kurczakiem"", ""ryż zurbian""]"
fd_3e799OAAhf2p,Nasiona lotosu,"[""ziarna lotosu"", ""suszone nasiona lotosu"", ""lotos""]"
fd_3e8zTN6g2WFM,Napój izotoniczny wysokowęglowodanowy,"[""napój dla sportowców"", ""izotonik węglowodanowy"", ""napój energetyczny sportowy""]"
fd_3eItbl1xZH3D,"Cefal, surowy","[""mugil"", ""cefal głowacz"", ""mugil surowy""]"
fd_3fbT5Birrdcz,Pozole,"[""posole"", ""meksykański gulasz pozole"", ""zupa pozole""]"
fd_3fmxBrQ1Ll1P,Sopa de mondongo,"[""zupa flaczkowa"", ""flaki po hondurasku"", ""mondongo""]"
fd_3gKxs64nIytx,Frikadeller (duńskie klopsiki),"[""frikadeller"", ""duńskie pulpety"", ""klopsiki duńskie""]"
fd_3hNaFOuHWd93,Złote latte kurkumowe,"[""latte z kurkumą"", ""złote mleko"", ""napój z kurkumy""]"
fd_3hUE7QpiI9gd,Mujaddara,"[""mudżaddara"", ""soczewica z ryżem i cebulą"", ""mjadra""]"
fd_3hhWSvrsh0p0,Mieszanka do wypieku brownie z gorzką czokoladą,"[""mieszanka na brownie czekoladowe"", ""ciasto brownie w proszku"", ""proszek na brownie z gorzkiej czekolady""]"
fd_3hp8Lq8K9SI3,"Marchew z puszki, odsączona","[""marchewka konserwowa"", ""marchew konserwowa"", ""marchewka z puszki""]"
fd_3htb3lZ2FNii,"Daiquiri mrożone, słodzone","[""daiquiri"", ""koktajl daiquiri"", ""drink daiquiri""]"
fd_3iKirJC85mCR,Badrijani nigvzit,"[""gruzińskie roladki z bakłażana"", ""bakłażan z pastą orzechową"", ""badrijani""]"
fd_3icOBCjyOCbe,Siu mai warzywne,"[""shumai wegetariańskie"", ""pierożki siu mai"", ""dim sum warzywne""]"
fd_3ivmSaq01EDi,Rzodkiew arbuzowa,"[""rzodkiew watermelon"", ""rzodkiewka arbuzowa"", ""rzodkiew czerwona w środku""]"
fd_3ixHVvEPFBVX,Guláš,"[""gulasz czeski"", ""gulasz wołowy""]"
fd_3jdZ8UyU9ZwJ,"Stek z polędwicy wołowej, surowy","[""polędwica wołowa"", ""filet mignon"", ""stek z polędwicy""]"
fd_3kh2gSwITsna,Baton owsiany,"[""baton zbożowy"", ""baton musli"", ""batonik owsiany""]"
fd_3nED6mSUMxYU,Guanimes,"[""guanime"", ""portorykańskie kluski kukurydziane"", ""kluski z mąki kukurydzianej""]"
fd_3nPH7RQ4z0Kw,Sos barbecue w stylu Memphis,"[""sos bbq memphis"", ""sos do grilla memphis"", ""sos barbecue""]"
fd_3oH3XED8piVy,"Brukselka, gotowana na oleju","[""brukselka na oleju"", ""brukselka smażona"", ""brukselka z olejem""]"
fd_3oM3gyCKZZi9,Pico de gallo,"[""salsa"", ""salsa fresca"", ""świeża salsa pomidorowa""]"
fd_3p0YW90hKKtb,Lemoniada lawendowa,"[""lemoniada z lawendą"", ""napój lawendowy"", ""lawendowa lemoniada""]"
fd_3pSPlegXclfQ,Pikle libańskie,"[""marynowane warzywa libańskie"", ""kiszona rzepa"", ""kabees""]"
fd_3r4kZrqHYRuI,"Golec zwyczajny, surowy","[""golec"", ""palia alpejska"", ""filet z golca""]"
fd_3sZJGM998fD8,Owsianka instant bez mleka,"[""owsianka na wodzie"", ""owsianka wegańska instant"", ""płatki owsiane instant bez mleka""]"
fd_3sblZrWmBoea,"Kotlet schabowy z kostką, surowy","[""schab z kostką"", ""karkówka z kostką"", ""kotlet wieprzowy z żeberkiem""]"
fd_3spjVmAZuPwi,Quiche z szynką i serem,"[""tarta z szynką i serem"", ""quiche"", ""quiche serowo-szynkowy""]"
fd_3t0Q3F0WuO8C,Płatki z otrębami,"[""otręby śniadaniowe"", ""płatki otrębowe"", ""płatki śniadaniowe z otrębami""]"
fd_3uTpb4Go2iMk,Curry panang z wołowiną,"[""curry panang"", ""panang"", ""tajskie curry z wołowiną"", ""czerwone curry z wołowiną""]"
fd_3uexXZF3niST,Czerwona fasola z ryżem i kiełbasą,"[""fasola z ryżem"", ""ryż z czerwoną fasolą i kiełbasą""]"
fd_3xY5GVfkWBHa,Makaron nitki pełnoziarnisty,"[""nitki pełnoziarniste"", ""makaron cienkie nitki razowy"", ""angel hair pełnoziarnisty""]"
fd_3xwZfirXENbm,Chrzan tarty,"[""chrzan ze słoika"", ""chrzan przygotowany"", ""chrzan śmietankowy""]"
fd_3y4V5CBw8xLi,"Nasiona chia, mielone","[""mielone chia"", ""chia mielona"", ""szałwia hiszpańska mielona""]"
fd_3yFbPLkLblUS,Boston roll,"[""sushi boston"", ""rolka boston"", ""sushi z krewetką""]"
fd_3z14qxFyAtIk,Tamaryndowiec suszony,"[""suszona tamaryndowiec"", ""tamarynd suszony"", ""miąższ tamaryndowca suszony""]"
fd_3zjISq1CHsqI,Pasta vindaloo,"[""pasta curry vindaloo"", ""vindaloo"", ""indyjska pasta przyprawowa""]"
fd_3zqbseZKHb2R,Pomelo białe,"[""pomelo"", ""grejpfrut olbrzymi"", ""szadok""]"
fd_42H2W4PoE4dk,Ceviche,"[""cebiche"", ""surowa ryba w limonce"", ""ceviche peruwiańskie""]"
fd_42Km8nUaSDQB,Penne Alfredo,"[""makaron alfredo"", ""penne w sosie śmietanowym"", ""penne alfredo z parmezanem""]"
fd_42LDRIXYJeTM,Zupa grochowa,"[""grochówka"", ""zupa z grochu łuskanego"", ""zupa z grochu""]"
fd_43HSkDGdAuVl,Bosna,"[""kiełbaska bosna"", ""austriacki hot dog"", ""bułka z kiełbaskami i curry""]"
fd_43Ha2F4f5nS6,Croissant wegański,"[""rogalik wegański"", ""croissant bez nabiału"", ""rogal wegański""]"
fd_43UPj8VC6Kde,Zestaw przekąskowy warzywny,"[""warzywa na przekąskę"", ""pokrojone warzywa do przekąszania"", ""zestaw warzyw""]"
fd_43kWftqEspi4,Lumpia świeża,"[""lumpiang sariwa"", ""sajgonki niesmażone"", ""filipińskie sajgonki""]"
fd_43uh6zjSzJRt,Bunna,"[""buna"", ""kawa etiopska"", ""kawa parzona po etiopsku""]"
fd_43vN8R5g8PpB,Bita polewa bez cukru,"[""bita śmietana bez cukru"", ""krem do dekoracji bez cukru"", ""polewa ubijana light""]"
fd_44pqArZxWwFU,Zapiekanka z tuńczykiem,"[""tuńczyk zapiekany"", ""makaron z tuńczykiem zapiekany"", ""zapiekanka rybna""]"
fd_44qkAjWqap21,Imam bayildi,"[""imambayildi"", ""faszerowany bakłażan"", ""bakłażan po turecku""]"
fd_45CR6KytPHWw,Sałatka z czerwonych ziemniaków,"[""sałatka ziemniaczana"", ""sałatka z ziemniaków"", ""sałatka kartoflana""]"
fd_45YwUHcwOhqf,Muffinki angielskie bezglutenowe,"[""muffiny angielskie"", ""bułeczki angielskie bez glutenu"", ""angielskie muffinki""]"
fd_45gXpLVX1YD0,Maamoul,"[""mamoul"", ""ciastka z daktylami"", ""ciastka bliskowschodnie""]"
fd_45sdGCfUfssE,Sopapillas,"[""sopaipillas"", ""smażone ciastka meksykańskie"", ""poduszki z ciasta smażone""]"
fd_46HNHblaBZ0n,Frytki z kimchi,"[""kimchi frytki"", ""frytki po koreańsku"", ""frytki z serem i kimchi""]"
fd_46WRx1wGoJlb,"Indyk o niskiej zawartości sodu, gotowany w plastrach","[""plastry indyka niskosodowe"", ""wędlina z indyka niskosolna"", ""indyk w plastrach""]"
fd_46hUO2kMqLhK,"Podudzia z kurczaka, bez skóry","[""pałki z kurczaka"", ""podudzie kurczaka"", ""nóżki z kurczaka""]"
fd_473AaRcUneDV,Tarta truskawkowa,"[""ciasto z truskawkami"", ""placek truskawkowy"", ""tarta z truskawkami""]"
fd_47HOed9G7XKS,"Plamiak hodowlany, surowy","[""plamiak"", ""łupacz"", ""filet z plamiaka""]"
fd_47OQTCcdE32U,"Serce królika, surowe","[""serca królicze"", ""podroby królicze"", ""serce królicze""]"
fd_47ZbbApsLqoS,Zupa z soczewicy z warzywami,"[""zupa soczewicowa"", ""soczewica zupa"", ""zupa jarzynowa z soczewicą""]"
fd_47okf45GmXCP,Pasztet z wątróbek drobiowych,"[""pasztet z wątróbki"", ""pasztet drobiowy"", ""pasta z wątróbki""]"
fd_48AAi2vZ8AdD,Krewetki w curry,"[""curry z krewetkami"", ""krewetki karaibskie"", ""krewetki w sosie curry""]"
fd_48tx76eLnnDs,Skrzydełka w sosie sweet chili,"[""skrzydełka słodko-pikantne"", ""skrzydła kurczaka sweet chili"", ""skrzydełka w słodkim chili""]"
fd_48xNkMRWAuGC,Podudzia z kurczaka w panierce,"[""udka z kurczaka smażone"", ""pałki z kurczaka"", ""podudzie kurczaka"", ""kurczak w panierce""]"
fd_4A5H9UeQpeh5,Kasza gryczana z grzybami,"[""kasza z grzybami"", ""gryka z grzybami"", ""kasza gryczana z pieczarkami""]"
fd_4AKHbT4jiuz4,Kombucha,"[""herbata kombucha"", ""napój fermentowany kombucza"", ""kombucza""]"
fd_4AKmdQyIIrgY,Krem kokosowy,"[""śmietanka kokosowa"", ""gęste mleko kokosowe"", ""krem z kokosa""]"
fd_4AkNA0mq7uX3,Ptysie z kremem,"[""ptyś"", ""eklery z kremem"", ""ciastka francuskie z kremem""]"
fd_4AnWizfb4ZzA,Krewetki kung pao,"[""kung pao z krewetkami"", ""gong bao krewetki"", ""krewetki po syczuańsku""]"
fd_4B5krdgSvZXg,Banany suszone,"[""chipsy bananowe"", ""banan suszony""]"
fd_4BhxjLZNgVYV,Mantu,"[""mantoo"", ""pierożki afgańskie"", ""pierogi na parze z mięsem""]"
fd_4BupNzdBKYVr,Irlandzki chleb na sodzie,"[""chleb na sodzie"", ""chleb bez drożdży""]"
fd_4CB00ue4MwzR,Przekąska owocowa z ananasa,"[""ananasowy owocowy papier"", ""suszony przecier ananasowy"", ""pastylki owocowe ananasowe""]"
fd_4CJXYPcVhlvZ,Fatayer,"[""fatayir"", ""pierożki bliskowschodnie"", ""placki z nadzieniem arabskie""]"
fd_4CPRIKinoWVk,Relish pomidorowy słodzony,"[""słodki relish pomidorowy"", ""chutney pomidorowy"", ""sos pomidorowy relish""]"
fd_4CjEfHFV2DNA,Ikra ze szczupaka,"[""ikra szczupacza"", ""kawior ze szczupaka"", ""ikra""]"
fd_4DuW3DgvBlpI,Pancit palabok,"[""palabok"", ""makaron filipiński"", ""pancit luglug""]"
fd_4E4fBXwzJeCQ,Poncz owocowy,"[""napój owocowy"", ""poncz"", ""napój wieloowocowy""]"
fd_4E81eqJkO8DZ,Gumbo,"[""zupa gumbo"", ""gulasz kreolski"", ""gumbo z luizjany""]"
fd_4FtbWyUpsepK,Orzechy pekan w karmelu z cynamonem,"[""pekany karmelizowane"", ""orzechy pekan w cukrze"", ""pekany z cynamonem""]"
fd_4GE0G527ZLxF,Arroz chaufa de pollo,"[""chaufa z kurczakiem"", ""ryż chaufa"", ""smażony ryż peruwiański""]"
fd_4GLE8NJrsM12,Sos teriyaki ananasowy,"[""teriyaki z ananasem"", ""sos teriyaki"", ""ananasowy sos teriyaki""]"
fd_4GMD9qvcK2En,Eton mess,"[""deser z bezą i truskawkami"", ""beza z truskawkami i bitą śmietaną"", ""angielski deser bezowy""]"
fd_4GOlhdVk4nuH,Koniak,"[""cognac"", ""brandy koniak"", ""koniak francuski""]"
fd_4GXcYL0yUT6J,Smoothie bowl z acai,"[""acai bowl"", ""miska acai"", ""owsianka acai"", ""deser z acai""]"
fd_4H0MTTKnT5Kz,"Mięso karibu, surowe","[""karibu"", ""renifer surowy"", ""mięso renifera""]"
fd_4HQLUg4ZlWQJ,Takoyaki,"[""kulki z ośmiornicą"", ""japońskie kulki takoyaki""]"
fd_4I5bEIlEYfoc,Popcorn bez masła,"[""popcorn naturalny"", ""prażona kukurydza bez masła"", ""popcorn solony bez masła""]"
fd_4IHoC0M3TP9H,"Kiełbasa turyńska, gotowana","[""kiełbaska turyńska"", ""kiełbasa z turyngii"", ""thuringer""]"
fd_4IZZUCea3gvu,Skrzydełka z kurczaka w sosie BBQ,"[""skrzydełka bbq"", ""skrzydełka barbecue"", ""skrzydełka z grilla""]"
fd_4IuoNl3eXhjH,Sałatka Waldorf,"[""sałatka waldorfska"", ""sałatka z jabłkiem i orzechami"", ""sałatka z selerem i jabłkiem""]"
fd_4JTbCRIDqugJ,Pastelillos de jueyes,"[""pastelillos z krabem"", ""empanadas z krabem"", ""paszteciki z krabem""]"
fd_4JnjzButGBAd,Wiśnie suszone,"[""suszone wiśnie"", ""wiśnie kwaśne suszone"", ""bakalie wiśniowe""]"
fd_4JyCINK9fqSL,Jibarito,"[""kanapka jibarito"", ""kanapka z platanów"", ""portorykańska kanapka z bananem""]"
fd_4KzXfE6m5pqV,"Soja prażona, przyprawiona","[""prażona soja"", ""chrupiąca soja"", ""ziarna soi solone""]"
fd_4MAx4FJXI0ZW,Kruche ciastka maślane,"[""szkockie kruche ciastka"", ""shortbread"", ""ciastka maślane""]"
fd_4MQglubdjAVI,Kibbeh labanieh,"[""kibbe w sosie jogurtowym"", ""libańskie kibbeh z jogurtem"", ""klopsiki bulgur w jogurcie""]"
fd_4MvDErt8ggc6,Kapłony,"[""kapłon"", ""kurczak kapłon"", ""drób kapłon""]"
fd_4Ngp39PmRMlN,Rzodkiewki marynowane,"[""marynowana rzodkiew"", ""rzodkiewka kiszona"", ""rzodkiewki w zalewie""]"
fd_4OCWNn5UtZEU,"Popcorn do mikrofalówki, solony","[""popcorn solony"", ""prażona kukurydza"", ""popcorn mikrofalowy""]"
fd_4OE6B2NFJi5Y,Calzone wegetariańskie,"[""calzone jarskie"", ""zawijana pizza wegetariańska"", ""calzone z warzywami""]"
fd_4OygfJx3CekR,Kulbak pieczony,"[""kulbak z pieca"", ""pieczona ryba kulbak"", ""kulbak zapiekany""]"
fd_4P3AUON4BbtQ,"Mieszanka ryżu białego i dzikiego, gotowana","[""ryż biały z dzikim"", ""dziki ryż gotowany"", ""mieszanka ryżów""]"
fd_4PQkb9ujlNyw,Paluszki precelkowe z cukrem cynamonowym,"[""precelki cynamonowe"", ""paluszki cynamonowe"", ""precle z cukrem i cynamonem""]"
fd_4Phz29Csp3BC,Zupa z tofu i owocami morza,"[""zupa tofu z owocami morza"", ""chińska zupa z tofu"", ""zupa rybna z tofu""]"
fd_4PpcCA5KFxOU,Ser gruyère,"[""gruyere"", ""ser szwajcarski gruyere"", ""grojer""]"
fd_4QE5pPzRxkfx,Sałatka antipasto,"[""antipasto"", ""sałatka włoska antipasto"", ""przekąska antipasto""]"
fd_4QHYbNwthbQ4,Śliwowica,"[""slivovitz"", ""rakija śliwkowa"", ""wódka śliwkowa"", ""nalewka ze śliwek""]"
fd_4QZy2GIGar3w,Ogórki kwaszone z koprem,"[""ogórki kiszone koperkowe"", ""ogórki koprowe"", ""kiszone ogórki z czosnkiem""]"
fd_4REEtwzF5PQC,Papryka suszona,"[""suszone papryczki"", ""suszona papryczka chili"", ""papryka w kawałkach suszona""]"
fd_4RLIQzo2GF1i,"Pierogi z mięsem, gotowane","[""pierogi mięsne"", ""pierożki z mięsem"", ""pieróg z mięsem""]"
fd_4RRmcUi05Jrx,Gluten pszenny,"[""seitan w proszku"", ""mąka glutenowa"", ""gluten witalny""]"
fd_4RVnlpkdpnLg,Tarte au citron,"[""tarta cytrynowa"", ""francuska tarta z cytryną"", ""ciasto z kremem cytrynowym""]"
fd_4RjobhnjkYuS,Bułka ciabatta,"[""ciabatta"", ""bułka włoska"", ""pieczywo ciabatta""]"
fd_4SGXiqRZfKeH,Ryż po meksykańsku,"[""ryż meksykański"", ""ryż z pomidorami"", ""ryż hiszpański""]"
fd_4SbdTCA380Z1,Kalafior w sosie serowym,"[""kalafior zapiekany z serem"", ""zapiekanka z kalafiora"", ""kalafior z cheddarem""]"
fd_4TJOZawq9DSL,"Napój roślinny matcha, słodzony","[""mleko roślinne matcha"", ""napój matcha słodzony"", ""roślinny napój z matchą""]"
fd_4TaI3KY8aQSC,Kanapka z indykiem i serem szwajcarskim na bułce precelkowej,"[""kanapka z indykiem"", ""bułka precelkowa z indykiem"", ""kanapka z indykiem i serem""]"
fd_4Ty7L6FqAcFZ,Gelato cytrynowe,"[""lody cytrynowe"", ""lody włoskie cytrynowe"", ""sorbet cytrynowy""]"
fd_4UnXtu7iVkte,Mleko początkowe bez laktozy i bez mleka krowiego,"[""mleko modyfikowane bez laktozy"", ""formuła dla niemowląt bez laktozy"", ""mleko dla niemowląt bezmleczne""]"
fd_4VKBH5UlnrgU,Kasza z kukurydzy nixtamalizowanej,"[""kasza kukurydziana"", ""hominy"", ""grits""]"
fd_4VWYLjIdOjQQ,Kotlety schabowe w sosie cebulowym,"[""schab w sosie"", ""kotlety wieprzowe duszone w sosie"", ""żeberka schabowe w sosie cebulowym""]"
fd_4Vnzl1lKnUFA,Sago w mleku kokosowym,"[""perły sago"", ""budyń sago"", ""deser sago"", ""sago z kokosem""]"
fd_4W3wff08itzy,Chenin Blanc,"[""wino chenin blanc"", ""białe wino chenin"", ""chenin""]"
fd_4WMU9mJrl3zH,Galaretka malinowa słodzona,"[""dżem malinowy"", ""konfitura malinowa"", ""galaretka z malin""]"
fd_4WOGNYw08lDs,Kabak tatlısı,"[""turecki deser z dyni"", ""dynia w syropie"", ""kandyzowana dynia""]"
fd_4WOoeBNXZdDz,Ribollita,"[""toskańska zupa chlebowa"", ""zupa fasolowa z chlebem"", ""włoska zupa warzywna""]"
fd_4Wekf5MqHIYB,"Nasiona słonecznika o smaku barbecue, solone","[""słonecznik bbq"", ""pestki słonecznika solone"", ""nasiona słonecznika grillowe""]"
fd_4XJNBivHsyzz,"Kolendra, nasiona","[""nasiona kolendry"", ""ziarna kolendry"", ""kolendra ziarno"", ""przyprawa kolendra""]"
fd_4XN8vEaBpIBn,Caldo de cana,"[""sok z trzciny cukrowej"", ""garapa"", ""napój z trzciny cukrowej""]"
fd_4Y5JntNYrN3C,Chleb żytni z ziarnami,"[""pieczywo żytnie z ziarnami"", ""chleb żytni wieloziarnisty"", ""razowy z ziarnami""]"
fd_4Y7mpWbFm1Te,Nøkkelost,"[""norweski ser z przyprawami"", ""ser z kminkiem"", ""ser norweski""]"
fd_4YVQ72csKP9v,Ser asiago,"[""asiago"", ""ser twardy asiago"", ""ser włoski asiago""]"
fd_4YWYZe3fXyx5,Fasolia,"[""libański gulasz z fasoli"", ""fasola po libańsku"", ""potrawka z fasoli""]"
fd_4YdbyXP2AB7T,Panierowany stek z jajkami,"[""stek w panierce z jajkami"", ""smażony stek z jajkami"", ""śniadanie ze stekiem i jajkami""]"
fd_4Z4b20cbvmSp,Sos sojowy grzybowy,"[""sos sojowy z grzybami"", ""sos sojowy o smaku grzybowym""]"
fd_4ZCD86TIOVEq,Longaniza,"[""kiełbasa longaniza"", ""kiełbasa wieprzowa hiszpańska"", ""longanisa""]"
fd_4ZoKKFAR9slt,"Uchowiec, surowy","[""abalone"", ""małż uchowiec"", ""ucho morskie""]"
fd_4b3aNTyPze8N,Kurczak z grilla w sosie BBQ,"[""kurczak barbecue"", ""kurczak bbq"", ""kurczak wędzony w sosie""]"
fd_4bGW0msQhtON,"Fasola biała drobna, gotowana","[""fasola navy"", ""fasola biała gotowana"", ""fasolka biała""]"
fd_4bvXpgdKkqIH,"Krewetki, surowe","[""krewetka"", ""krewetki świeże"", ""krewetki nieugotowane""]"
fd_4cZv2vs5xjQD,Ziemniaki pieczone,"[""pieczone kartofle"", ""ziemniaki z piekarnika"", ""ziemniaki w mundurkach pieczone""]"
fd_4ccFrn3uRrZo,Winogrona czerwone,"[""czerwone winogrona"", ""winogrona bezpestkowe"", ""grona czerwone""]"
fd_4cvJLe0eMjJc,Chipsy kukurydziane z wędzoną wołowiną i kiełbasą,"[""chipsy kukurydziane z mięsem"", ""chipsy z chili""]"
fd_4dx5FOpqGF81,Pierogi z mięsem,"[""pierogi mięsne"", ""pieróg z mięsem"", ""pierożki z mięsem""]"
fd_4dzB0DxSm3U8,Sorbet czekoladowy,"[""sorbet z czekolady"", ""lody sorbetowe czekoladowe"", ""sorbet""]"
fd_4eUjpYJJzbAF,Mleko kokosowe niesłodzone,"[""mleczko kokosowe bez cukru"", ""napój kokosowy niesłodzony"", ""mleko z kokosa""]"
fd_4edbq2XUmtzZ,Pizza z kiełbasą,"[""pizza z salsiccią"", ""pizza nowojorska z kiełbasą"", ""kawałek pizzy z kiełbasą""]"
fd_4f7XhUD66XKz,Aromat kokosowy,"[""ekstrakt kokosowy"", ""esencja kokosowa"", ""aromat do ciasta kokosowy""]"
fd_4fhNa17DblOO,Wędlina z indyka,"[""indyk w plastrach"", ""szynka z indyka"", ""wędliny indycze""]"
fd_4fsaQ2LJoD3L,Smoczy owoc żółty,"[""pitaja żółta"", ""żółta pitahaya"", ""smoczy owoc""]"
fd_4gCqGVFj90n4,Chipsy z bajgli,"[""chrupki z bajgla"", ""pieczone chipsy bajglowe"", ""przekąska z bajgli""]"
fd_4ggEjs7jzLZ6,Kibbeh bi laban,"[""kibbe w sosie jogurtowym"", ""klopsiki w jogurcie"", ""kibbeh z jogurtem""]"
fd_4gztIqu9m7kL,Jabłka Granny Smith,"[""jabłka zielone"", ""jabłko granny smith"", ""zielone jabłko""]"
